job_link,last_processed_time,got_summary,got_ner,is_being_worked,job_title,company,job_location,first_seen,search_city,search_country,search_position,job_level,job_type
https://www.linkedin.com/jobs/view/rn-case-manager-at-lifepoint-health-at-health-ecareers-3806090190,2024-01-19 09:45:09.215838+00,f,f,f,RN Case Manager at LifePoint Health,Health eCareers,"Athens, TN",2024-01-17,Tennessee,United States,Utilization-Review Coordinator,Mid senior,Onsite
https://www.linkedin.com/jobs/view/senior-software-developer-at-teksynap-3718496553,2024-01-21 06:07:02.951144+00,t,t,f,Senior Software Developer,TekSynap,"Columbia, MD",2024-01-17,Maryland,United States,Tool Grinder Ii,Mid senior,Onsite
https://www.linkedin.com/jobs/view/principal-software-engineer-database-platform-at-snowflake-3770808959,2024-01-21 16:29:09.395031+00,t,t,f,Principal Software Engineer - Database Platform,Snowflake,"San Mateo, CA",2024-01-17,Santa Clara,United States,Utilization Engineer,Mid senior,Onsite
https://www.linkedin.com/jobs/view/rn-telemetry-nights-at-steward-health-care-3805610555,2024-01-20 04:27:59.165992+00,t,t,f,RN Telemetry - Nights,Steward Health Care,"Tempe, AZ",2024-01-17,Peoria,United States,Usher,Mid senior,Onsite
https://www.linkedin.com/jobs/view/warehouse-assistant-delivery-driver-at-northpoint-search-group-3807204640,2024-01-21 16:35:57.185958+00,t,t,f,Warehouse Assistant / Delivery Driver,NorthPoint Search Group,"Houston, TX",2024-01-17,Dorval,Canada,Truck Driver Light,Mid senior,Onsite
https://www.linkedin.com/jobs/view/registered-nurse-case-manager-at-totalmed-inc-3803091615,2024-01-20 13:08:28.604245+00,t,t,f,Registered Nurse - Case Manager,"TotalMed, Inc.","San Antonio, TX",2024-01-17,San Antonio,United States,Utilization-Review Coordinator,Mid senior,Onsite
https://www.linkedin.com/jobs/view/manager-of-nursing-at-hca-healthcare-3778791803,2024-01-21 00:36:40.563364+00,t,t,f,Manager of Nursing,HCA Healthcare,"Willis, TX",2024-01-17,Texas,United States,Supervisor Trust Accounts,Mid senior,Onsite
https://www.linkedin.com/jobs/view/design-sales-consultant-charlotte-at-kohler-co-3782432826,2024-01-19 09:45:09.215838+00,f,f,f,"Design Sales Consultant, Charlotte",Kohler Co.,"Charlotte, NC",2024-01-17,North Carolina,United States,Vocational Rehabilitation Consultant,Mid senior,Onsite
https://www.linkedin.com/jobs/view/residential-sales-consultant-at-service-experts-heating-air-conditioning-3803091179,2024-01-19 09:45:09.215838+00,f,f,f,Residential Sales Consultant,Service Experts Heating & Air Conditioning,"Jeffersonville, IN",2024-01-17,Westport,United States,Vocational Rehabilitation Consultant,Mid senior,Onsite
https://www.linkedin.com/jobs/view/inpatient-registered-nurse-%E2%80%93-rn-%E2%80%93-dialysis-at-fresenius-medical-care-north-america-3791758674,2024-01-19 09:45:09.215838+00,f,f,f,Inpatient Registered Nurse – RN – Dialysis,Fresenius Medical Care North America,"Durham, NC",2024-01-17,North Carolina,United States,Supervisor Travel-Information Center,Mid senior,Onsite
https://www.linkedin.com/jobs/view/sr-machine-learning-engineer-recommendations-max-at-warner-bros-discovery-3746931846,2024-01-19 23:01:48.76972+00,t,t,f,Sr Machine Learning Engineer - Recommendations (Max),Warner Bros. Discovery,"San Francisco, CA",2024-01-17,San Leandro,United States,Turner,Mid senior,Onsite
https://www.linkedin.com/jobs/view/information-technology-enterprise-application-manager-at-ohmstede-ltd-3807077001,2024-01-21 03:48:03.450008+00,t,t,f,Information Technology Enterprise Application Manager,"Ohmstede, Ltd.","Beaumont, TX",2024-01-17,Port Arthur,United States,Supervisor Vendor Quality,Mid senior,Onsite
https://www.linkedin.com/jobs/view/assistant-manager-at-rubio-s-restaurants-inc-3786549123,2024-01-20 04:28:21.183926+00,t,t,f,Assistant Manager,"Rubio's Restaurants, Inc.","Ontario, CA",2024-01-17,Corona,United States,Train Clerk,Mid senior,Onsite
https://www.linkedin.com/jobs/view/sr-it-project-manager-oracle-cloud-at-onset-technologies-llc-3762526350,2024-01-20 14:15:04.340517+00,t,t,f,Sr IT Project Manager - Oracle Cloud,Onset Technologies LLC,United States,2024-01-17,Smith Center,United States,Supervisor Vendor Quality,Mid senior,Onsite
https://www.linkedin.com/jobs/view/icu-general-micu-sicu-rn-travel-nurse-oklahoma-city-at-the-hill-3803927246,2024-01-20 04:28:22.114084+00,t,t,f,ICU - General MICU/SICU RN - Travel Nurse - Oklahoma City,The Hill,"Oklahoma, United States",2024-01-17,El Reno,United States,Ventilator,Mid senior,Onsite
https://www.linkedin.com/jobs/view/technical-program-manager-infrastructure-disaster-recovery-at-stripe-3786428681,2024-01-20 15:52:52.987822+00,t,t,f,"Technical Program Manager, Infrastructure Disaster Recovery",Stripe,"San Francisco, CA",2024-01-17,Berkeley,United States,Supervisor Pipelines,Mid senior,Onsite
https://www.linkedin.com/jobs/view/broker-blue-bell-at-jimcor-agencies-3787734799,2024-01-19 09:45:09.215838+00,f,f,f,"Broker, Blue Bell",Jimcor Agencies,"Blue Bell, PA",2024-01-17,Pottstown,United States,Ticket Broker,Mid senior,Onsite
https://www.linkedin.com/jobs/view/hotel-commercial-applications-manager-at-loews-hotels-co-3734002187,2024-01-21 07:20:20.49904+00,t,t,f,Hotel Commercial Applications Manager,Loews Hotels & Co,"Nashville, TN",2024-01-17,Tennessee,United States,Supervisor Travel-Information Center,Mid senior,Onsite
https://www.linkedin.com/jobs/view/hydraulics-eit-coordinator-at-hdr-3637540628,2024-01-19 12:53:10.863303+00,t,t,f,Hydraulics EIT/Coordinator,HDR,"Memphis, TN",2024-01-17,West Memphis,United States,Technical Coordinator,Mid senior,Onsite
https://www.linkedin.com/jobs/view/attorney-needed-for-plantation-office-at-bcg-attorney-search-3794180647,2024-01-21 03:47:57.418556+00,t,t,f,Attorney needed for Plantation office,BCG Attorney Search,"Plantation, FL",2024-01-17,Pompano Beach,United States,Tax Attorney,Mid senior,Onsite
https://www.linkedin.com/jobs/view/test-engineer-senior-with-security-clearance-at-clearancejobs-3797373530,2024-01-20 10:48:36.312108+00,t,t,f,Test Engineer - Senior with Security Clearance,ClearanceJobs,"Washington, DC",2024-01-17,Dunkirk,United States,Test Technician,Mid senior,Onsite
