job_link,job_skills
https://www.linkedin.com/jobs/view/%F0%9F%94%A5-echocardiology-ultrasound-technician-3-12-s-at-jobot-3806137343,"Echocardiography, Ultrasound, 2D, MMode, Color Doppler, PW/CW, 3D, GE, Philips, Radiology Information System, PACS, Transthoracic, Stress, Transesophageal Echocardiograms, Health Sciences, CPR, Data analysis"
https://www.linkedin.com/jobs/view/emergency-medicine-at-vista-staffing-3807774300,"Emergency Medicine, Locum tenens, Physician, MedHost, ATLS, ACLS, PALS, Active KY license, US residency, US work visa"
https://uk.linkedin.com/jobs/view/luxury-sales-consultant-at-ps-recruits-ltd-3804944618,"Sales, Client service, Consultative selling, Sales targets, Commission, Proactive outreach, Phone calls, Email, Account management, Client list building, Home consultations, Driving, Art appreciation, Luxury retail sales, Art gallery sales"
https://www.linkedin.com/jobs/view/float-pool-registered-nurse-at-prime-healthcare-at-health-ecareers-3805972832,"Registered Nurse, Nursing, Float Pool, BLS, ACLS, Ventilator Management, Bachelor of Science in Nursing (BSN), Acute Care hospital experience"
https://www.linkedin.com/jobs/view/sales-retail-consultant-at-palm-beach-tan-3739822777,"Customer service, Skin care, Sales, Cash handling, Administrative paperwork, Cleaning, High school diploma"
https://www.linkedin.com/jobs/view/operations-manager-at-yourmechanic-acquired-3787722684,"Supply operations management, Mechanic partner relations, Mechanic partner support, Analytics, Communication skills, Attention to detail, Organization skills, Drive and hustle, BA/BS degree, Andreessen Horowitz, Softbank, TechCrunch"
https://www.linkedin.com/jobs/view/technical-project-manager-at-hermitage-infotech-3620198579,"Development Background, SAFe, Agile, Rally, Jira, Technical Project Management, Technical PM, 9+ years of experience"
https://www.linkedin.com/jobs/view/deli-shift-manager-up-to-%2416-hour-at-pilot-flying-j-3803461418,"Customer service, Food safety standards, Teamwork, Communication, Shift work, Food service, Restaurant background"
https://www.linkedin.com/jobs/view/test-lead-manual-at-hexaware-technologies-3806526952,"Manual Testing, Insurance, Salesforce, Property and Casualty Insurance, Communication, Team Management, Test Plan Creation, Jira, Agile, Regression Testing, Quality Assurance, Selenium, Flexible Work Timings"
https://uk.linkedin.com/jobs/view/sales-service-advisor-at-hq-personnel-3790186930,"Customer service, Technical support, Sales, Product knowledge, Financial advising, Team collaboration, Communication, Interpersonal skills, IT literacy, GCSEs, Maths, English"
https://uk.linkedin.com/jobs/view/principal-teacher-raising-attainment-elgin-high-school-at-clickjobs-io-3805101680,"Teaching, Curriculum development, Assessment, Reporting, Examination preparation, Guidance"
https://www.linkedin.com/jobs/view/senior-associate-attorney-at-bcg-attorney-search-3724421953,"Legal, Esports, Bar admission"
https://www.linkedin.com/jobs/view/nights-or-rn-at-concentric-healthcare-staffing-3661213901,"Nursing, OR Experience, BLS, ACLS, Scrubbing, Communication, NY License, Pay Package"
https://www.linkedin.com/jobs/view/tax-manager-federal-tax-central-and-southeast-us-at-ey-3642205798,"Accounting, Tax, Law, Microsoft Excel, Access, Data mining, Budgeting, Project management, Client relations, Collaboration, Communication, Analytical skills, Attention to detail, Problem solving, Adaptability, Leadership, Mentoring, Diversity, Inclusion, Equal opportunity, Affirmative action"
